annee;code_commune;nom_commune;population
2017;69275;Décines-Charpieu;28602.0
2017;69276;Feyzin;9857.0
2017;69277;Genas;12734.0
2017;69278;Genay;5470.0
2017;69279;Jonage;5903.0
2017;69280;Jons;1487.0
2017;69281;Marennes;1688.0
2017;69282;Meyzieu;33477.0
2017;69283;Mions;13542.0
2017;69284;Montanay;3142.0
2017;69285;Pusignan;4114.0
2017;69286;Rillieux-la-Pape;30012.0
2017;69287;Saint-Bonnet-de-Mure;6800.0
2017;69288;Saint-Laurent-de-Mure;5377.0
2017;69289;Saint-Pierre-de-Chandieu;4520.0
2017;69290;Saint-Priest;46207.0
2017;69291;Saint-Symphorien-d'Ozon;5735.0
2017;69292;Sathonay-Camp;5934.0
2017;69293;Sathonay-Village;2360.0
2017;69294;Sérézin-du-Rhône;2664.0
2017;69295;Simandres;1812.0
2017;69296;Solaize;2922.0
2017;69297;Ternay;5514.0
2017;69298;Toussieu;3080.0
2017;69299;Colombier-Saugnieu;2613.0
2017;69381;Lyon 1er Arrondissement;29352.0
2017;69382;Lyon 2e  Arrondissement;30520.0
2017;69383;Lyon 3e  Arrondissement;101744.0
2017;69384;Lyon 4e  Arrondissement;35949.0
2017;69385;Lyon 5e  Arrondissement;49409.0
2017;69386;Lyon 6e  Arrondissement;51777.0
2017;69387;Lyon 7e  Arrondissement;81566.0
2017;69388;Lyon 8e  Arrondissement;85088.0
2017;69389;Lyon 9e  Arrondissement;50687.0
2022;69001;Affoux;397.0
2022;69002;Aigueperse;239.0
2022;69003;Albigny-sur-Saône;3013.0
2022;69004;Alix;772.0
2022;69005;Ambérieux;629.0
2022;69006;Amplepuis;4858.0
2022;69007;Ampuis;2760.0
2022;69008;Ancy;674.0
2022;69009;Anse;8139.0
2022;69010;L' Arbresle;6469.0
2022;69012;Les Ardillats;616.0
2022;69013;Arnas;4408.0
2022;69014;Aveize;1108.0
2022;69016;Azolette;122.0
2022;69017;Bagnols;758.0
2022;69018;Beaujeu;2103.0
2022;69019;Belleville;13767.0
2022;69020;Belmont-d'Azergues;717.0
2022;69021;Bessenay;2351.0
2022;69022;Bibost;543.0
2022;69023;Blacé;1692.0
2022;69024;Le Bois-d'Oingt;4143.0
2022;69026;Le Breuil;528.0
2022;69027;Brignais;12330.0
2022;69028;Brindas;6718.0
2022;69029;Bron;42850.0
2022;69030;Brullioles;823.0
2022;69031;Brussieu;1378.0
2022;69032;Bully;2144.0
2022;69033;Cailloux-sur-Fontaines;2951.0
2022;69034;Caluire-et-Cuire;43479.0
2022;69035;Cenves;393.0
2022;69036;Cercié;1135.0
2022;69037;Chambost-Allières;819.0
2022;69038;Chambost-Longessaigne;923.0
2022;69039;Chamelet;703.0
2022;69040;Champagne-au-Mont-d'Or;6124.0
2022;69042;La Chapelle-sur-Coise;566.0
2022;69043;Chaponost;9217.0
2022;69044;Charbonnières-les-Bains;5272.0
2022;69045;Charentay;1269.0
2022;69046;Charly;4670.0
2022;69047;Charnay;1031.0
2022;69049;Chasselay;2901.0
2022;69050;Châtillon;2184.0
2022;69051;Chaussan;1215.0
2022;69052;Chazay-d'Azergues;4270.0
2022;69053;Chénas;534.0
2022;69054;Chénelette;365.0
2022;69055;Les Chères;1504.0
2022;69056;Chessy;2058.0
2022;69057;Chevinay;586.0
2022;69058;Chiroubles;416.0
2022;69059;Civrieux-d'Azergues;1633.0
2022;69060;Claveisolles;557.0
2022;69061;Cogny;1198.0
2022;69062;Coise;794.0
2022;69063;Collonges-au-Mont-d'Or;4604.0
2022;69064;Condrieu;3945.0
2022;69065;Corcelles-en-Beaujolais;993.0
2022;69066;Cours-la-Ville;4329.0
2022;69067;Courzieu;1178.0
2022;69068;Couzon-au-Mont-d'Or;2541.0
2022;69069;Craponne;12170.0
2022;69070;Cublize;1357.0
2022;69071;Curis-au-Mont-d'Or;1186.0
2022;69072;Dardilly;8980.0
2022;69074;Denicé;1574.0
2022;69075;Dième;196.0
2022;69076;Dommartin;2607.0
2022;69077;Dracé;1178.0
2022;69078;Duerne;842.0
2022;69080;Échalas;1940.0
2022;69081;Écully;18019.0
2022;69082;Émeringes;278.0
2022;69083;Éveux;1169.0
2022;69084;Fleurie;1351.0
2022;69085;Fleurieu-sur-Saône;1549.0
2022;69086;Fleurieux-sur-l'Arbresle;2299.0
2022;69087;Fontaines-Saint-Martin;3070.0
2022;69088;Fontaines-sur-Saône;7005.0
2022;69089;Francheville;15664.0
2022;69090;Frontenas;905.0
2022;69091;Givors;20943.0
2022;69092;Gleizé;7824.0
2022;69093;Grandris;1212.0
2022;69094;Grézieu-la-Varenne;6284.0
2022;69095;Grézieu-le-Marché;831.0
2022;69096;Grigny;9941.0
2022;69097;Les Haies;739.0
2022;69098;Les Halles;481.0
2022;69099;Haute-Rivoire;1425.0
2022;69100;Irigny;8909.0
2022;69102;Joux;753.0
2022;69103;Juliénas;883.0
2022;69104;Jullié;496.0
2022;69105;Lacenas;1029.0
2022;69106;Lachassagne;1334.0
2022;69107;Lamure-sur-Azergues;1051.0
2022;69108;Lancié;1082.0
2022;69109;Lantignié;851.0
2022;69110;Larajasse;1820.0
2022;69111;Légny;699.0
2022;69112;Lentilly;6541.0
2022;69113;Létra;907.0
2022;69115;Limas;4749.0
2022;69116;Limonest;3933.0
2022;69117;Lissieu;3193.0
2022;69118;Loire-sur-Rhône;2736.0
2022;69119;Longes;951.0
2022;69120;Longessaigne;592.0
2022;69121;Lozanne;3182.0
2022;69122;Lucenay;2068.0
2022;69124;Marchampt;452.0
2022;69125;Marcilly-d'Azergues;1004.0
2022;69126;Marcy;879.0
2022;69127;Marcy-l'Étoile;3711.0
2022;69130;Meaux-la-Montagne;226.0
2022;69131;Messimy;3565.0
2022;69132;Meys;855.0
2022;69133;Millery;4323.0
2022;69134;Moiré;243.0
2022;69135;Monsols;1923.0
2022;69136;Montagny;3212.0
2022;69137;Montmelas-Saint-Sorlin;530.0
2022;69138;Montromant;447.0
2022;69139;Montrottier;1393.0
2022;69140;Morancé;2267.0
2022;69141;Mornant;6261.0
2022;69142;La Mulatière;6554.0
2022;69143;Neuville-sur-Saône;7807.0
2022;69145;Odenas;943.0
2022;69148;Orliénas;2633.0
2022;69149;Oullins;37928.0
2022;69151;Le Perréon;1496.0
2022;69153;Poleymieux-au-Mont-d'Or;1394.0
2022;69154;Pollionnay;2966.0
2022;69155;Pomeys;1133.0
2022;69156;Pommiers;2629.0
2022;69157;Pontcharra-sur-Turdine;5283.0
2022;69159;Pouilly-le-Monial;4079.0
2022;69160;Poule-les-Écharmeaux;1027.0
2022;69161;Propières;477.0
2022;69162;Quincié-en-Beaujolais;1382.0
2022;69163;Quincieux;3620.0
2022;69164;Ranchal;311.0
2022;69165;Régnié-Durette;1159.0
2022;69166;Riverie;307.0
2022;69167;Rivolet;588.0
2022;69168;Rochetaillée-sur-Saône;1546.0
2022;69169;Ronno;650.0
2022;69170;Rontalon;1167.0
2022;69171;Sain-Bel;2568.0
2022;69172;Salles-Arbuissonnas-en-Beaujolais;789.0
2022;69173;Sarcey;979.0
2022;69174;Les Sauvages;621.0
2022;69175;Savigny;1970.0
2022;69176;Soucieu-en-Jarrest;4652.0
2022;69177;Sourcieux-les-Mines;2098.0
2022;69178;Souzy;767.0
2022;69179;Saint-Andéol-le-Château;4198.0
2022;69180;Saint-André-la-Côte;274.0
2022;69181;Saint-Appolinaire;235.0
